# class	chain — refused by apertium-kaz on every representative stem,
# unpinned and attested below 25 tokens; tools/audit_apertium.py
nbr	алын
nbr	алып
nbr	алық
nbr	апты
nbr	арта
nbr	ас
nbr	асаң
nbr	астан
nbr	асы
nbr	асын
nbr	асқа
nbr	ат
nbr	аты
nbr	аң
nbr	ба
nbr	бада
nbr	бадай
nbr	бадан
nbr	бадағы
nbr	бады
nbr	бай
nbr	байды
nbr	байдың
nbr	байтын
nbr	бал
nbr	балар
nbr	балардың
nbr	балары
nbr	баларым
nbr	баларымен
nbr	баларымыздың
nbr	баларын
nbr	баларының
nbr	балау
nbr	балаушылар
nbr	балауы
nbr	балақ
nbr	балы
nbr	балық
nbr	бам
nbr	бама
nbr	бамен
nbr	бамнан
nbr	бамның
nbr	бамыз
nbr	бамын
nbr	банда
nbr	бандап
nbr	бандар
nbr	бандары
nbr	баны
nbr	баның
nbr	бап
nbr	бар
nbr	барда
nbr	бардан
nbr	бардар
nbr	барды
nbr	бардың
nbr	барлар
nbr	барлары
nbr	барлау
nbr	барлаушы
nbr	барлы
nbr	барлық
nbr	бармын
nbr	барсыз
nbr	барсың
nbr	баршы
nbr	баршысы
nbr	бары
nbr	барым
nbr	барын
nbr	барына
nbr	барынып
nbr	барыс
nbr	барысты
nbr	барыстың
nbr	барға
nbr	барған
nbr	бас
nbr	басар
nbr	басары
nbr	бастан
nbr	бастау
nbr	бастаушы
nbr	басты
nbr	бастық
nbr	бастың
nbr	басшы
nbr	басшылардың
nbr	басшылық
nbr	басшысы
nbr	басы
nbr	басылы
nbr	басымен
nbr	басын
nbr	басына
nbr	басынан
nbr	басында
nbr	басындағы
nbr	басының
nbr	басыға
nbr	басың
nbr	басқа
nbr	басқан
nbr	бат
nbr	батты
nbr	батын
nbr	батынан
nbr	батыны
nbr	батыр
nbr	батырақ
nbr	бау
nbr	баудан
nbr	баудың
nbr	баушы
nbr	бауы
nbr	бауымен
nbr	башыл
nbr	баға
nbr	баған
nbr	бағы
nbr	бағын
nbr	бағың
nbr	бақ
nbr	баң
nbr	баңа
nbr	баңдап
nbr	дабы
nbr	дабынан
nbr	дайсып
nbr	дал
nbr	далады
nbr	далу
nbr	далып
nbr	далған
nbr	дап
nbr	дапты
nbr	дас
nbr	даса
nbr	дасады
nbr	дасаң
nbr	даспақ
nbr	дассыз
nbr	дастан
nbr	дастар
nbr	дастардың
nbr	дастары
nbr	дастарым
nbr	дастарымның
nbr	дастарымызға
nbr	дастарын
nbr	дастарына
nbr	дастарының
nbr	дастарға
nbr	дасты
nbr	дастыр
nbr	дастырды
nbr	дастыру
nbr	дастырылған
nbr	дастық
nbr	дастықты
nbr	дастың
nbr	дасу
nbr	дасы
nbr	дасым
nbr	дасымен
nbr	дасымның
nbr	дасын
nbr	дасына
nbr	дасынан
nbr	дасының
nbr	дасып
nbr	дасқа
nbr	дасқан
nbr	дат
nbr	датады
nbr	дату
nbr	датып
nbr	датқан
nbr	дағын
nbr	дағына
nbr	дыр
nbr	дыра
nbr	дырады
nbr	дыратын
nbr	дыратыны
nbr	дырақ
nbr	дырдай
nbr	дырдан
nbr	дырды
nbr	дырдың
nbr	дырлардың
nbr	дырмай
nbr	дырмайды
nbr	дырмақ
nbr	дыртады
nbr	дыру
nbr	дыруды
nbr	дыруларды
nbr	дырулардың
nbr	дырушы
nbr	дыруға
nbr	дырыл
nbr	дырылады
nbr	дырылуы
nbr	дырылуын
nbr	дырылған
nbr	дырып
nbr	дырған
nbr	дырғанда
nbr	дырғанына
nbr	л
nbr	лам
nbr	ламын
nbr	ларыны
nbr	латын
nbr	латынына
nbr	лақ
nbr	лба
nbr	лда
nbr	лдай
nbr	лдайды
nbr	лдан
nbr	лдар
nbr	лдарды
nbr	лдардың
nbr	лдары
nbr	лдарын
nbr	лдарына
nbr	лдарының
nbr	лдарға
nbr	лдау
nbr	лдағы
nbr	лды
nbr	лдыр
nbr	лдырады
nbr	лдырды
nbr	лдырдың
nbr	лдыру
nbr	лдырып
nbr	лдырған
nbr	лдық
nbr	лдың
nbr	лма
nbr	лмады
nbr	лмай
nbr	лмайды
nbr	лмайтын
nbr	лмаса
nbr	лмау
nbr	лмаған
nbr	лмағанын
nbr	лмақ
nbr	лмен
nbr	лмын
nbr	лпақ
nbr	лпаң
nbr	лса
nbr	лсам
nbr	лсақ
nbr	лсаң
nbr	лсы
nbr	лсыз
nbr	лсызбен
nbr	лсыздар
nbr	лсыздық
nbr	лсыздыққа
nbr	лсыздың
nbr	лсын
nbr	лсың
nbr	лт
nbr	лту
nbr	лтын
nbr	лтыр
nbr	лтырын
nbr	лу
nbr	луда
nbr	лусыз
nbr	луы
nbr	луын
nbr	луында
nbr	луға
nbr	лша
nbr	лшаны
nbr	лшаның
nbr	лшашы
nbr	лшашылар
nbr	лшы
nbr	лшыдан
