# word	tracks	sources — generated by tools/build_lexicon.py
аванпорт	n	apertium,kazdict
аванпост	n	apertium
аванс	n	apertium,baseline,kazdict
аванстау	-	kazdict
аванстық	-	baseline
авансыла	v	baseline,kazdict
авансылау	n	apertium,baseline,kazdict
авантюра	-	kazdict
авантюралық	n	apertium,kazdict
авантюризм	n	apertium,kazdict
авантюрист	n	apertium,kazdict
авантюристік	n	baseline,kazdict
аванцена	n	kazdict
авар	n	baseline,kazdict
авария	n	apertium,baseline,kazdict
авариялық	-	baseline
авариясыз	-	baseline
аваров	n	apertium
аватар	-	kazdict
аввакум	n	apertium
авгит	n	apertium
авгур	n	apertium
август	n	apertium,kazdict
августин	n	apertium
авдеев	n	apertium
авдотка	n	kazdict
авезов	n	wikipedia
авейру	n	apertium
авенсис	n	kaznerd
авеню	n	apertium
авераж	-	kazdict
авербухтың	n	kaznerd
аверроизм	-	kazdict
авзұры	-	kazdict
авиа	n	apertium
авиааппарат	-	kazdict
авиааппат	n	kazdict
авиабаза	n	kazdict
авиабайланыс	n	apertium,baseline,kazdict
авиабағдаршам	n	apertium
авиабилет	n	apertium
авиабомбы	n	kazdict
авиабөлім	-	baseline
авиадесант	n	apertium,kazdict
авиажелі	n	apertium
авиажоба	-	baseline
авиажол	-	baseline
авиазауыт	n	apertium,baseline,kazdict
авиакасса	-	kazdict
авиаклуб	n	apertium,kazdict
авиакомпания	-	kazdict
авиаконструктор	-	kazdict
авиакөкжиек	n	apertium,kazdict
авиалайнер	n	apertium
авиамектеп	n	apertium,baseline,kazdict
авиамоделизм	n	apertium,kazdict
авиамоделші	n	baseline,kazdict
авиамодель	n	kazdict
авиамодельші	n	apertium
авиамотор	n	apertium
авиапочта	n	apertium
авиапошта	-	kazdict
авиаспорт	n	apertium,kazdict
авиаспортшы	n	apertium
авиатариф	-	kazdict
авиатехникум	n	kazdict
авиатозаңдандыру	v	baseline,kazdict
авиатор	n	apertium,kazdict
авиатрасса	n	kazdict
авиатүсіру	n	kazdict
авиахабарлама	n	apertium
авиахимкүрес	n	kazdict
авиация	n	apertium,kazdict
авиациялық	n	apertium,baseline,kazdict,kaznerd
авиацияшы	n	kazdict
авиашапқын	n	apertium
авиақойма	-	baseline
авиақоректендіру	n	apertium
авиақұрылыс	n	apertium,baseline,kazdict
авизо	-	kazdict
авила	n	apertium
авилайнер	n	apertium
ависта	-	kazdict
авитаминоз	-	kazdict
авиценна	n	apertium
авлады	-	kazdict
авланды	-	kazdict
авлатты	-	kazdict
авлияров	n	kaznerd
авокадо	n	apertium
аврал	n	apertium
авраменко	n	apertium
аврикула	n	apertium
аврора	n	apertium,kazdict,wikipedia
аврыиды	-	kazdict
австралия	n	apertium
австралиялық	n	apertium,baseline
австрия	n	apertium,kaznerd
австриялық	n	apertium
автаркия	n	apertium,kazdict
автаркты	n	apertium
авто	n	apertium
автоалаң	n	kazdict
автоара	n	apertium,baseline,kazdict
автоаудармашы	n	apertium
автоаударғыш	n	kazdict
автоағаштасығыш	n	apertium
автобаза	n	kazdict
автобан	-	kazdict
автобақылау	n	apertium
автобекет	n	apertium,kazdict
автобелгі	-	baseline
автобус	n	apertium,baseline,kazdict
автобөлшек	n	apertium
автовокзал	n	apertium,kazdict
автовус	n	apertium
автогамия	n	apertium
автогараж	-	kazdict
автоген	n	apertium,kazdict
автогендік	-	baseline
автогенші	n	apertium,kazdict
автогравюра	-	kazdict
автограф	-	kazdict
автодабыл	n	kazdict
автодидактика	-	kazdict
автодинамикалық	n	apertium
автодиспетчер	n	kazdict
автодром	n	apertium,kazdict
автодүкен	n	apertium,baseline,kazdict
автожол	n	apertium,baseline,kazdict
автожорық	n	kazdict
автожуу	n	kazdict
автожуғыш	n	kazdict
автозауыт	n	apertium,kazdict
автоинспектор	n	kazdict
автоинспекция	n	kazdict
автокеруен	n	kazdict
автоклав	n	apertium
автоклуб	n	kazdict
автоколонна	n	kazdict
автокоммуникация	-	kazdict
автокран	n	apertium,kazdict
автократ	n	apertium
автократия	n	apertium,kazdict
автокөл	-	baseline
автокөлік	n	apertium,baseline,kazdict
автокөлікті	n	apertium
автокөтергіш	-	baseline
автол	n	kazdict
автолавка	n	kazdict
автолитография	n	apertium
автология	-	kazdict
автомагистраль	n	apertium
автомат	n	apertium,baseline,kazdict
автоматизация	n	apertium
автоматизм	n	apertium,kazdict
автоматика	n	kazdict
автоматтал	v	kazdict
автоматтан	v	kazdict
автоматтандыр	v	apertium,baseline,kazdict
автоматтандыру	n	apertium,baseline,kazdict
автоматтандырыл	v	baseline,kazdict
автоматтандырылу	-	kazdict
автоматтандырылған	-	baseline
автоматтану	-	kazdict
автоматты	n	apertium,baseline,kazdict
автоматтық	n	baseline,kazdict
автоматша	n	apertium,baseline
автоматшы	n	apertium,baseline,kazdict
автомеханик	n	apertium,kazdict
автомобилизм	n	apertium
автомобиль	n	apertium,baseline,kazdict
автомобильдік	n	apertium
автомобильші	n	apertium,baseline,kazdict
автомоделизм	n	apertium
автомодель	n	kazdict
автомодельші	n	kazdict
автоморфизм	n	apertium
автоморфты	n	apertium
автомотоклуб	n	apertium
автомототуризм	-	kazdict
автомұнара	n	apertium
автомәшине	n	kazdict
автонауа	n	apertium,baseline,kazdict
автоним	-	kazdict
автономды	n	kazdict
автономия	n	apertium,baseline,kazdict
автономиялы	n	apertium,kazdict
автономиялық	n	apertium,baseline,kazdict
автопарк	n	kazdict
автопилот	-	kazdict
автопойыз	n	kazdict
автопортрет	n	kazdict
автопісіруші	n	apertium
автор	n	apertium,baseline,kazdict
автордың	-	baseline
автореферат	n	apertium,kazdict
авторизация	n	apertium
авторитаризм	n	apertium,kazdict
авторитарлық	n	apertium,kazdict
авторландыру	-	kazdict
авторлары	-	baseline
авторлас	-	baseline
авторластыр	v	apertium
авторластыру	n	apertium
авторлығымен	-	baseline
авторлық	n	apertium,baseline,kazdict
авторота	n	kazdict
авторы	-	baseline
автосадырашашқыш	n	kazdict
автосайыс	-	baseline
автосауғыш	n	apertium,baseline,kazdict
автосервис	n	apertium,kazdict
автослесарь	n	kazdict
автосоқа	n	baseline,kazdict
автоспорт	n	apertium
автостансы	n	kazdict
автостереотип	-	kazdict
автосуару	n	apertium
автосуарғыш	n	apertium,baseline,kazdict
автосуат	n	apertium,baseline,kazdict
автосуггестия	-	kazdict
автотаразы	n	apertium,baseline,kazdict
автотасымал	n	baseline,kazdict
автотежеуіш	n	apertium,baseline,kazdict
